Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,425865,0,0,,,,
0,0,0,413200,0,0,,,,
0,0,0,409597,0,0,,,,
0,0,0,409484,0,0,,,,
0,0,0,414423,0,0,,,,
0,0,0,430925,0,0,,,,
0,0,0,408469,0,0,,,,
0,0,0,411221,0,0,,,,
0,0,0,414701,0,0,,,,
0,0,0,405683,0,0,,,,
0,0,0,422132,0,0,,,,
0,0,0,427749,0,0,,,,
0,0,0,411542,0,0,,,,
0,0,0,405648,0,0,,,,
0,0,0,409181,0,0,,,,
0,0,0,408860,0,0,,,,
0,0,0,427393,0,0,,,,
0,0,0,448843,0,0,,,,
0,0,0,434719,0,0,,,,
0,0,0,413773,0,0,,,,
0,0,0,507097,0,0,,,,
0,0,0,500787,0,0,,,,
0,0,0,451507,0,0,,,,
0,0,0,444780,0,0,,,,
0,0,0,481021,0,0,,,,
0,0,0,450648,0,0,,,,
0,0,0,454338,0,0,,,,
0,0,0,448964,0,0,,,,
0,0,0,462757,0,0,,,,
0,0,0,450301,0,0,,,,
0,0,0,445657,0,0,,,,
0,0,0,443617,0,0,,,,
0,0,0,435275,0,0,,,,
0,0,0,440527,0,0,,,,
0,0,0,464840,0,0,,,,
0,0,0,494399,0,0,,,,
0,0,0,451876,0,0,,,,
0,0,0,485292,0,0,,,,
0,0,0,495739,0,0,,,,
0,0,0,495769,0,0,,,,
0,0,0,492622,0,0,,,,
0,0,0,464943,0,0,,,,
0,0,0,487109,0,0,,,,
0,0,0,467556,0,0,,,,
0,0,0,459304,0,0,,,,
0,0,0,455688,0,0,,,,
0,0,0,471447,0,0,,,,
0,0,0,449967,0,0,,,,
0,0,0,463799,0,0,,,,
0,0,0,469507,0,0,,,,
0,0,0,451619,0,0,,,,
0,0,0,454097,0,0,,,,
0,0,0,469231,0,0,,,,
0,0,0,464418,0,0,,,,
0,0,0,449499,0,0,,,,
0,0,0,481875,0,0,,,,
0,0,0,419665,0,0,,,,
0,0,0,408966,0,0,,,,
0,0,0,419308,0,0,,,,
0,0,0,430432,0,0,,,,
0,0,0,413742,0,0,,,,
0,0,0,411637,0,0,,,,
0,0,0,411615,0,0,,,,
0,0,0,415395,0,0,,,,
0,0,0,414696,0,0,,,,
0,0,0,424516,0,0,,,,
0,0,0,421890,0,0,,,,
0,0,0,419941,0,0,,,,
0,0,0,414502,0,0,,,,
0,0,0,413490,0,0,,,,
0,0,0,416020,0,0,,,,
